creative,party,ad_issue,cycle,ad_purpose,ad_tone
PRES/NDN REALITY CHECK SPANISH,democrat,Education/schools,2004,policy,attack
PRES/TMF IT'S ABOUT PRIORITIES REVISED,democrat,Health care,2004,policy,attack
PRES/TMF MEDICAL BILLS,democrat,None / No other issues,2004,policy,attack
PRES/BUSH DOUBLESPEAK 60,republican,Political record,2004,both,attack
PRES/KERRY COMMITMENT,democrat,Education/schools,2004,policy,promote
PRES/KERRY RISK,democrat,None / No other issues,2004,policy,promote
PRES/LAROUCHE ILLUSION,democrat,None / No other issues,2004,policy,promote
PRES/SIERRA ROYAL OAK,democrat,None / No other issues,2004,policy,attack
PRES/SIERRA WINTER PARK,democrat,None / No other issues,2004,policy,attack
PRES/SOE AUCTION,democrat,None / No other issues,2004,policy,attack
PRES/TMF PRESCRIPTION DRUGS,democrat,Health care,2004,policy,attack
PRES/BUSH WEAPONS,republican,Defense/military,2004,policy,attack
PRES/SIERRA UPPER DARBY,democrat,None / No other issues,2004,policy,attack
PRES/KERRY HEART 60,democrat,None / No other issues,2004,personal,promote
PRES/KUCINICH OREGON,democrat,None / No other issues,2004,policy,promote
PRES/KERRY LIFETIME 60,democrat,Employment/ jobs,2004,personal,promote
PRES/NARAL MARCHERS TERROR GROUP,democrat,None / No other issues,2004,policy,attack
PRES/TMF CORPORATE HEADQUARTERS,democrat,Prescription drugs,2004,both,attack
PRES/LCV POSITION,democrat,None / No other issues,2004,policy,attack
PRES/CU MICHAEL,republican,None / No other issues,2004,personal,promote
PRES/CFG FREEDOM,republican,Terrorism,2004,both,promote
PRES/BUSH KEY TO SUCCESS,republican,None / No other issues,2004,policy,promote
PRES/BUSH ACCOUNTABILITY SPANISH,republican,None / No other issues,2004,policy,attack
PRES/AFLCIO AMERICA'S PRIORITIES,democrat,Health care,2004,policy,attack
PRES/BUSH PATRIOT ACT,republican,None / No other issues,2004,policy,contrast
PRES/KERRY OPTIMISTS,democrat,Energy,2004,policy,promote
PRES/MOVEON FUTURE,democrat,None / No other issues,2004,policy,attack
PRES/SN DON'T DO THIS TO US AGAIN,democrat,Defense/military,2004,both,attack
PRES/KERRY WWII MEMORIAL SPANISH,democrat,None / No other issues,2004,both,promote
EDUC/CQE ROSEMARY ROSAS-DELICH,democrat,None / No other issues,2004,policy,attack
EDUC/CQE BRYNN SONGER,democrat,None / No other issues,2004,policy,attack
EDUC/CQE MICHELLE BRIGHT,democrat,None / No other issues,2004,policy,attack
EDUC/CQE NANCI DIBIANCA,democrat,None / No other issues,2004,policy,attack
PRES/KERRY COUNTRY,democrat,None / No other issues,2004,policy,promote
PRES/TMF BUSH AND HALLIBURTON,democrat,None / No other issues,2004,policy,attack
EDUC/CQE GERALDINE BAUER,democrat,None / No other issues,2004,policy,attack
PRES/BUSH PESSIMISM,republican,Taxes,2004,both,contrast
PRES/AFSCME BIG OIL,democrat,None / No other issues,2004,personal,attack
PRES/AFSCME GAS PRICES PA,democrat,None / No other issues,2004,policy,attack
PRES/AFSCME GAS PRICES WI,democrat,None / No other issues,2004,policy,attack
PRES/MOVEON HALLIBURTON,democrat,Political record,2004,policy,attack
EDUC/CQE ROSEMARY ROSAS-DELICH SPANISH,democrat,None / No other issues,2004,policy,attack
PRES/CFG HISTORY,republican,None / No other issues,2004,policy,attack
PRES/MOVEON THE COMPANY,democrat,None / No other issues,2004,both,attack
PRES/AFSCME GAS PRICES MO,democrat,None / No other issues,2004,both,attack
PRES/KERRY PAPERWORK,democrat,None / No other issues,2004,policy,promote
PRES/AFSCME GAS PRICES AZ,democrat,Other (please specify),2004,both,attack
PRES/CQE BROTHERS,democrat,None / No other issues,2004,policy,attack
PRES/TMF THE COMPANY,democrat,None / No other issues,2004,policy,attack
PRES/KERRY PILOT,democrat,None / No other issues,2004,personal,promote
PRES/MOVEON RAW DEAL,democrat,None / No other issues,2004,both,attack
PRES/BUSH FIRST CHOICE,republican,Terrorism,2004,personal,promote
PRES/BUSH PRIORITIES,republican,Defense/military,2004,both,attack
PRES/KERRY BORN IN COLORADO,democrat,Political record,2004,personal,promote
PRES/KERRY HUSBAND AND FATHER,democrat,Political record,2004,personal,promote
PRES/KERRY TEAM FOR AMERICA,democrat,Foreign policy,2004,personal,promote
PRES/KERRY MIDDLE CLASS HELP,democrat,Health care,2004,policy,promote
PRES/KERRY MIDDLE CLASS HELP 2,democrat,Deficit/ surplus/ budget/ debt,2004,policy,promote
PRES/KERRY OHIO WORKERS,democrat,None / No other issues,2004,policy,promote
PRES/KERRY THREE MINUTES,democrat,None / No other issues,2004,personal,promote
PRES/KERRY WAR ON TERROR,democrat,Foreign policy,2004,policy,promote
PRES/KERRY FREEDOM AND INDEPENDENCE,democrat,Environment,2004,policy,promote
PRES/PFA WHY DO WE FIGHT,republican,None / No other issues,2004,policy,contrast
PRES/BUSH PRIORITIES SPANISH,republican,Defense/military,2004,both,attack
PRES/KERRY HUSBAND AND FATHER SPANISH,democrat,None / No other issues,2004,personal,promote
PRES/MOVEON REAL PROBLEMS,democrat,Taxes,2004,both,attack
PRES/KERRY CULTURE SPANISH,democrat,None / No other issues,2004,both,promote
PRES/KERRY EDWARDS KNOWS,democrat,None / No other issues,2004,personal,promote
PRES/KERRY LOUDER THAN WORDS,democrat,Health care,2004,policy,contrast
PRES/KERRY LIFELINE,democrat,International trade/globalization/NAFTA,2004,policy,promote
PRES/KERRY ON THE LINE,democrat,None / No other issues,2004,personal,promote
PRES/NRA LAPIERRE CAMPAIGN FLYER,republican,None / No other issues,2004,both,attack
PRES/MOVEON DEBATE,democrat,Medicare,2004,both,contrast
PRES/WVLIFE BUSH ON ABORTION,republican,None / No other issues,2004,personal,promote
PRES/CFG BLOWING IN THE WIND,republican,Energy,2004,both,attack
PRES/TMF PLATTER,democrat,Government Spending,2004,policy,attack
PRES/TMF BALL AND CHAIN,democrat,None / No other issues,2004,policy,attack
PRES/CFG BLOWING IN THE WIND REVISED,republican,None / No other issues,2004,policy,attack
PRES/BUSH TOGETHER,republican,None / No other issues,2004,personal,promote
PRES/SBVT ANY QUESTIONS 60,republican,None / No other issues,2004,personal,attack
PRES/BUSH OUR COUNTRY OUR PRESIDENT,republican,None / No other issues,2004,unclear,promote
PRES/BUSH CHANGING WORLD,republican,None / No other issues,2004,personal,promote
PRES/BUSH OWNERSHIP,republican,Social Security,2004,policy,promote
PRES/BUSH SOLEMN DUTY,republican,None / No other issues,2004,policy,promote
PRES/NDN TWO JOBS SPANISH,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY RASSMAN,democrat,Honesty/Integrity,2004,personal,promote
PRES/BUSH INTEL,republican,Other (please specify),2004,policy,attack
PRES/BUSH INTEL SPANISH,republican,Other (please specify),2004,both,attack
PRES/CQE FIX NEVADA'S SCHOOLS SPANISH,democrat,None / No other issues,2004,policy,contrast
PRES/DNC REAL PEOPLE,democrat,None / No other issues,2004,policy,contrast
PRES/EAF FISH DINNER SPANISH,democrat,None / No other issues,2004,policy,attack
PRES/MOVEON MEDICAL BILLS,democrat,Political record,2004,policy,attack
PRES/MOVEON PRESCRIPTION DRUGS,democrat,Political record,2004,policy,attack
PRES/MOVEON SWIFT RESPONSE,democrat,None / No other issues,2004,personal,contrast
PRES/MOVEON TWO MEN 60,democrat,None / No other issues,2004,personal,contrast
PRES/MOVEON YUCCA MOUNTAIN,democrat,Local issues,2004,both,contrast
PRES/BUSH FAMILY PRIORITIES,republican,Abortion,2004,policy,attack
PRES/BUSH VICTORY,republican,None / No other issues,2004,unclear,promote
PRES/CQE FIX NEVADA'S SCHOOLS,democrat,None / No other issues,2004,policy,contrast
PRES/DNC STRENGTH,democrat,Defense/military,2004,policy,promote
PRES/NRA COX NOT FOOLING,republican,None / No other issues,2004,policy,attack
PRES/NRA LAPIERRE TED KENNEDY,republican,None / No other issues,2004,policy,attack
PRES/PFA WHAT IF,republican,Political record,2004,policy,contrast
PRES/TMF NO OIL COMPANY LEFT BEHIND,democrat,Political record,2004,policy,attack
PRES/TMF OHIO OUTSOURCED,democrat,None / No other issues,2004,policy,attack
PRES/DNC BELIEVE,democrat,None / No other issues,2004,policy,contrast
PRES/CU MY FAULT,republican,None / No other issues,2004,both,promote
PRES/CQE FIX OHIO'S SCHOOLS,democrat,None / No other issues,2004,policy,contrast
PRES/CQE COMPARE PLANS OHIO,democrat,None / No other issues,2004,policy,contrast
PRES/SBVT SELLOUT,republican,Honesty/Integrity,2004,personal,attack
PRES/SBVT SELLOUT REVISED,republican,Personal values,2004,personal,attack
PRES/KERRY YUCCA DUMP,democrat,Local issues,2004,both,contrast
PRES/KERRY ISSUES,democrat,Employment/ jobs,2004,personal,contrast
PRES/CQE COMPARE PLANS NEVADA,democrat,None / No other issues,2004,policy,contrast
PRES/DNC YUCCA ATTACKS,democrat,None / No other issues,2004,both,contrast
PRES/DNC BROKEN RECORD,democrat,None / No other issues,2004,policy,attack
PRES/BUSH TAXING OUR ECONOMY,republican,None / No other issues,2004,policy,attack
PRES/CFG ARE YOU RICH,republican,None / No other issues,2004,both,attack
PRES/BUSH KERRY'S YUCCA,republican,None / No other issues,2004,policy,attack
PRES/AJS KERRY COAL MINING 15,republican,None / No other issues,2004,policy,attack
PRES/SEIU RISING COST,democrat,Political record,2004,policy,contrast
PRES/SOE LAST THIRTY PERCENT,democrat,None / No other issues,2004,policy,attack
PRES/HRC WHAT IF,democrat,None / No other issues,2004,policy,attack
PRES/AJS KERRY BYRD'S BILL,republican,None / No other issues,2004,policy,attack
PRES/GADP ZELL MILLER,democrat,None / No other issues,2004,unclear,other
PRES/GADP ZELL MILLER 60,democrat,None / No other issues,2004,policy,other
PRES/DNC MNA IRAQ 15,democrat,None / No other issues,2004,policy,attack
PRES/DNC MNA MIDDLE CLASS SQUEEZE 15,democrat,None / No other issues,2004,policy,attack
PRES/DNC MNA JOBS SPANISH 15,democrat,None / No other issues,2004,policy,attack
PRES/DNC MNA JOBS 15,democrat,None / No other issues,2004,unclear,attack
PRES/DNC MNA HEALTHCARE 15,democrat,None / No other issues,2004,policy,attack
PRES/SBVT MEDALS,republican,None / No other issues,2004,personal,attack
PRES/MOVEON RECKLESS,democrat,None / No other issues,2004,unclear,attack
PRES/DNC PREOCUPACIONES DE PADRE SPANISH,democrat,None / No other issues,2004,policy,contrast
PRES/MOVEON PROPER USE,democrat,None / No other issues,2004,policy,attack
PRES/KERRY CLEVELAND,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY CEDAR RAPIDS,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY ECONOMY OHIO,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY SCRANTON,democrat,None / No other issues,2004,policy,contrast
PRES/MOVEON LIBERATION,democrat,Education/schools,2004,policy,attack
PRES/MOVEON NO PROBLEM VOTE,democrat,None / No other issues,2004,unclear,attack
PRES/DNC WAR ON TERROR,democrat,None / No other issues,2004,policy,attack
PRES/BUSH&RNC ECONOMIC AGENDA,republican,Education/schools,2004,policy,promote
PRES/BUSH&RNC HEALTHCARE AGENDA,republican,Taxes,2004,policy,promote
PRES/BUSH AGENDA,republican,None / No other issues,2004,policy,promote
PRES/KERRY IMMEDIATE HELP,democrat,None / No other issues,2004,both,contrast
PRES/DNC MIDDLE,democrat,None / No other issues,2004,policy,attack
PRES/KERRY JOHNSTOWN,democrat,None / No other issues,2004,both,contrast
PRES/KERRY TIME,democrat,Health care,2004,policy,contrast
PRES/KERRY WRONG CHOICES,democrat,Taxes,2004,policy,contrast
PRES/PFA VETERANS,republican,September,2004,both,contrast
PRES/SEIU THE RIGHT THING,democrat,Prescription drugs,2004,policy,contrast
PRES/MOVEON ASSAULT WEAPON BAN,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY PHILADELPHIA,democrat,Medicare,2004,policy,contrast
PRES/BUSH&RNC SECURITY AGENDA,republican,Other (please specify),2004,policy,promote
PRES/BUSH&RNC AGENDA SPANISH,republican,Health care,2004,policy,promote
PRES/CMW HALLIBURTON,democrat,None / No other issues,2004,personal,attack
PRES/TMF NOT DONE HIS JOB 15,democrat,Other (please specify),2004,policy,attack
PRES/KERRY HOSPITAL SPANISH,democrat,None / No other issues,2004,policy,promote
PRES/BUSH MEDICARE HYPOCRISY,republican,None / No other issues,2004,both,attack
PRES/TMF MILLION FACTORY JOBS 15,democrat,Bush,2004,policy,attack
PRES/TMF LESSER OF TWO EVILS 15,democrat,Other (please specify),2004,policy,attack
PRES/TMF AROUND THE CORNER 15,democrat,Other (please specify),2004,both,attack
PRES/TMF GETS PAID 15,democrat,Other (please specify),2004,policy,attack
PRES/TMF NO CHILD LEFT BEHIND 15,democrat,Other (please specify),2004,policy,attack
PRES/BUSH&RNC HEALTHCARE PRACTICAL,republican,Other (please specify),2004,policy,contrast
PRES/DNC NATIONAL GUARD,democrat,None / No other issues,2004,policy,attack
PRES/DNC MINNESOTA HEALTHCARE,democrat,None / No other issues,2004,policy,attack
PRES/KERRY DEFEND AMERICA,democrat,Education/schools,2004,policy,contrast
PRES/KERRY CHENEY HALLIBURTON,democrat,Other (please specify),2004,both,attack
PRES/DNC GUARD,democrat,None / No other issues,2004,both,attack
PRES/DNC CHARLOTTE JOBS,democrat,None / No other issues,2004,policy,attack
PRES/BUSH&RNC ECONOMY COMMON SENSE,republican,Employment/ jobs,2004,policy,contrast
PRES/SBVT DAZED AND CONFUSED,republican,None / No other issues,2004,personal,attack
PRES/KERRY NOT TRUE,democrat,None / No other issues,2004,policy,contrast
PRES/MOVEON QUAGMIRE,democrat,Education/schools,2004,both,attack
PRES/ST04 WHY IS HE THERE,democrat,Other (please specify),2004,policy,attack
PRES/FBC TERRIBLE MISTAKES,democrat,None / No other issues,2004,policy,attack
PRES/PFA SURFER DUDE,republican,Political record,2004,personal,attack
PRES/BUSH&RNC PLAN MAS TRABAJOS SPANISH,republican,None / No other issues,2004,policy,contrast
PRES/DNC PHILADELPHIA EDUCATION,democrat,None / No other issues,2004,both,attack
PRES/SBVT FRIENDS,republican,Honesty/Integrity,2004,personal,attack
PRES/TMF ALL IN THE FAMILY,democrat,None / No other issues,2004,both,attack
PRES/KERRY RIGHT TRACK,democrat,Terrorism,2004,policy,contrast
PRES/KERRY GUIDING PRINCIPLES,democrat,Taxes,2004,policy,promote
PRES/KERRY DIFFERENT STORY,democrat,Defense/military,2004,policy,contrast
PRES/TMF MISSING PAGE,democrat,Other (please specify),2004,policy,attack
PRES/KERRY ROBERT BYRD,democrat,None / No other issues,2004,personal,promote
PRES/KERRY ATTACK MACHINE,democrat,Foreign policy,2004,policy,contrast
PRES/KERRY&DNC MIDDLE CLASS PLAN,democrat,Prescription drugs,2004,policy,contrast
PRES/DNC WISCONSIN EDUCATION,democrat,None / No other issues,2004,policy,other
PRES/CMW DONATE,democrat,Honesty/Integrity,2004,policy,attack
PRES/BUSH WINDSURFING,republican,Education/schools,2004,both,attack
PRES/ACTF RICK HILL,democrat,Other (please specify),2004,policy,attack
PRES/DNC ANSWERED THE CALL SPANISH,democrat,Political record,2004,both,attack
PRES/PFA FINISH IT,republican,Defense/military,2004,policy,contrast
PRES/AUPM LIBERAL KERRY,republican,Ideology,2004,personal,attack
PRES/BUSH SEARCHING,republican,Other (please specify),2004,policy,attack
PRES/BUSH&RNC PEACE AND SECURITY,republican,Deficit/ surplus/ budget/ debt,2004,policy,attack
PRES/REG APPLES,democrat,Other (please specify),2004,policy,attack
PRES/TMF OHIO WORKER,democrat,International trade/globalization/NAFTA,2004,policy,contrast
PRES/DNC NO ONE,democrat,Employment/ jobs,2004,personal,attack
PRES/DNC I DON'T KNOW,democrat,Other (please specify),2004,both,attack
PRES/DNC BIG HIKE,democrat,None / No other issues,2004,policy,attack
PRES/BUSH&RNC MI FAMILIA SPANISH,republican,Education/schools,2004,both,promote
PRES/NDN RAUL MARTINEZ SPANISH,democrat,Prescription drugs,2004,policy,contrast
PRES/DNC OHIO DREAM,democrat,None / No other issues,2004,policy,attack
PRES/DNC ONE QUESTION,democrat,Other (please specify),2004,policy,attack
PRES/KERRY INNOVATION,democrat,Middle East,2004,policy,attack
PRES/KERRY HEALTHCARE RIGHT,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY&DNC RX RECORD OF FAILURE,democrat,Health care,2004,policy,contrast
PRES/SBVT NEVER FORGET 60,republican,Political record,2004,personal,attack
PRES/TMF EDUCATION IN OHIO,democrat,Political record,2004,policy,contrast
PRES/KERRY&DNC GET WHAT THEY WANT,democrat,Other (please specify),2004,policy,contrast
PRES/NRDC REDFORD,democrat,Government ethics,2004,policy,attack
PRES/MOB EDIE FALCO,democrat,Health care,2004,policy,attack
PRES/TMF HAS A PLAN 15,democrat,Other (please specify),2004,policy,attack
PRES/NRA JOHN KERRY'S NOT A HUNTER,republican,None / No other issues,2004,policy,attack
PRES/NDN CUBAN WOMAN,democrat,Health care,2004,policy,contrast
PRES/BUSH&RNC THINKING MOM,republican,Other (please specify),2004,policy,attack
PRES/BUSH GLOBAL TEST,republican,None / No other issues,2004,policy,contrast
PRES/DNC YEARS,democrat,Energy,2004,policy,attack
PRES/BUSH&RNC CLOCKWORK,republican,None / No other issues,2004,policy,attack
PRES/DNC RICHARDSON ENDORSEMENT SPANISH,democrat,Social Security,2004,policy,contrast
PRES/PFA ABSOLUTELY INCORRECT,republican,None / No other issues,2004,policy,attack
PRES/DNC MICHIGAN HEALTHCARE,democrat,Government ethics,2004,policy,attack
PRES/KERRY INCENTIVES,democrat,Employment/ jobs,2004,policy,contrast
PRES/BUSH&RNC TORT REFORM,republican,Other (please specify),2004,policy,attack
PRES/NDN HELP WANTED,democrat,Other (please specify),2004,policy,contrast
PRES/BUSH&RNC MED MAL,republican,Other (please specify),2004,policy,attack
PRES/DNC STRONGER,democrat,Foreign policy,2004,both,contrast
PRES/KERRY&DNC GET WHAT THEY WANT,democrat,Taxes,2004,policy,contrast
PRES/KERRY&DNC RX RECORD OF FAILURE,democrat,None / No other issues,2004,policy,contrast
PRES/DNC WHO YOU'RE WITH SPANISH,democrat,Taxes,2004,policy,attack
PRES/KERRY MEL MONTANO ENDORSEMENT,democrat,Defense/military,2004,personal,promote
PRES/KERRY HE'S LOST HE'S DESPERATE,democrat,Employment/ jobs,2004,both,attack
PRES/WBR SPEAK OUT,democrat,None / No other issues,2004,personal,attack
PRES/BUSH&RNC VALORES FAMILIARES SPANISH,republican,Political record,2004,policy,attack
PRES/EAF TOXIC WASTE SITES,democrat,None / No other issues,2004,policy,attack
PRES/EAF MERCURY POLLUTION,democrat,None / No other issues,2004,policy,attack
PRES/HM BUSHITMETER,democrat,Political record,2004,personal,attack
PRES/TMF JOBS IN OHIO,democrat,Political record,2004,policy,contrast
PRES/PFA TOUGHER HAND,republican,Terrorism,2004,policy,promote
PRES/MOVEON A MOTHER'S TEARS 60,democrat,September,2004,both,attack
PRES/KERRY JUDY DROZ KEYES,democrat,Honesty/Integrity,2004,personal,promote
PRES/KERRY SAME COURSE OF ACTION,democrat,Political record,2004,both,attack
PRES/KERRY OUR SECURITY,democrat,Terrorism,2004,both,promote
PRES/KERRY MIDDLE CLASS STRUGGLE,democrat,Health care,2004,policy,contrast
PRES/KERRY MICHAEL J FOX,democrat,None / No other issues,2004,policy,contrast
PRES/DNC ON THE ROAD,democrat,None / No other issues,2004,personal,attack
PRES/KERRY&DNC RX RECORD OF FAILURE 2,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY&DNC BOB CASEY ENDORSEMENT,democrat,Prescription drugs,2004,policy,contrast
PRES/KERRY&DNC RENDELL SUGGESTION,democrat,Ideology,2004,policy,NA
PRES/KERRY ED RENDELL ENDORSEMENT,democrat,Employment/ jobs,2004,both,promote
PRES/NEPB VOTE DEMOCRATIC,democrat,None / No other issues,2004,unclear,promote
PRES/BUSH WORLD VIEW,republican,None / No other issues,2004,personal,attack
PRES/BUSH NEARLY TWO MILLION REASONS,republican,None / No other issues,2004,policy,promote
PRES/DNC REPUBLICAN HELP LINE,democrat,Other (please specify),2004,policy,attack
PRES/KERRY BELIEVE,democrat,Other (please specify),2004,personal,promote
PRES/KERRY JUDY DROZ KEYES 2,democrat,None / No other issues,2004,personal,promote
PRES/SEIU EMERGENCY ROOM SPANISH,democrat,None / No other issues,2004,policy,contrast
PRES/UAWVCAP WRONG CHOICES WRONG LEADER,democrat,Health care,2004,policy,attack
PRES/KERRY&DNC WEST VIRGINIA VETERANS,democrat,Terrorism,2004,policy,attack
PRES/SEIU SIGNS SPANISH,democrat,None / No other issues,2004,policy,contrast
PRES/BOHB NEW REEAALLY,democrat,None / No other issues,2004,policy,attack
PRES/OT NOT THERE,democrat,Defense/military,2004,policy,other
PRES/DNC MISTAKE,democrat,Other (please specify),2004,personal,attack
PRES/RFC RUNNING,democrat,Abortion,2004,policy,other
PRES/BUSH&RNC YOUR DOCTOR,republican,None / No other issues,2004,policy,attack
PRES/BUSH&RNC COMPLICATED PLAN,republican,None / No other issues,2004,policy,attack
PRES/MOVEON MISTAKE,democrat,Other (please specify),2004,policy,attack
PRES/KERRY HARRY REID ENDORSEMENT,democrat,None / No other issues,2004,policy,contrast
PRES/DNC MANY LIVES,democrat,None / No other issues,2004,policy,attack
PRES/KERRY&DNC LOST JOBS,democrat,Taxes,2004,policy,attack
PRES/KERRY&DNC SENIORS PLAN,democrat,Social Security,2004,policy,contrast
PRES/DNC STARE,democrat,Taxes,2004,policy,attack
PRES/KERRY&DNC BOB GRAHAM ENDORSEMENT,democrat,Employment/ jobs,2004,policy,contrast
PRES/SV BIG,republican,None / No other issues,2004,policy,promote
PRES/BUSH&RNC DON'T TAKE CHANCES,republican,None / No other issues,2004,policy,attack
PRES/KERRY&DNC BILL RICHARDSON ENDORSEMENT,democrat,Employment/ jobs,2004,policy,promote
PRES/TMF FOOLED,democrat,Health care,2004,policy,attack
PRES/SAN ALL IN THE FAMILY,democrat,Other (please specify),2004,personal,attack
PRES/SAN HOLDING THEM ACCOUNTABLE,democrat,Employment/ jobs,2004,personal,contrast
PRES/SAN MISSING PAGES,democrat,Other (please specify),2004,personal,attack
PRES/BUSH&RNC AFTER 9-11,republican,Political record,2004,policy,attack
PRES/BRADY TURNED HIS BACK,democrat,Political record,2004,policy,attack
PRES/DNC IOWA RX,democrat,None / No other issues,2004,policy,attack
PRES/DNC STAND UP FOR YOU,democrat,None / No other issues,2004,NA,NA
PRES/KERRY&DNC MIDDLE CLASS SQUEEZE,democrat,International trade/globalization/NAFTA,2004,policy,contrast
PRES/KERRY KICK START,democrat,Taxes,2004,policy,contrast
PRES/KERRY RX DRUGS,democrat,None / No other issues,2004,both,promote
PRES/LCV BIG OIL BEST FRIENDS,democrat,Environment,2004,policy,attack
PRES/RNC RISKY CHOICE,republican,Taxes,2004,both,attack
PRES/SBVT THEY SERVED 60,republican,Other (please specify),2004,personal,attack
PRES/SBVT WHY 60,republican,Defense/military,2004,personal,attack
PRES/BUSH&RNC IMPUESTOS SPANISH,republican,Other (please specify),2004,policy,attack
PRES/KERRY&DNC HAY ESPERANZA SPANISH,democrat,Other (please specify),2004,policy,contrast
PRES/KERRY REAL AMERICANS,democrat,Poverty,2004,policy,attack
PRES/CDV CLEAR CHOICE,democrat,None / No other issues,2004,policy,contrast
PRES/ACTF REBUILD IRAQ,democrat,None / No other issues,2004,policy,attack
PRES/KERRY FIGHT FOR YOU,democrat,Defense/military,2004,policy,promote
PRES/KERRY HE'S LOST HE'S DESPERATE REVISED,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY PENNSYLVANIA JOBS,democrat,None / No other issues,2004,policy,promote
PRES/SAM ON YOUR OWN,republican,None / No other issues,2004,policy,attack
PRES/SAM ON YOUR OWN 60,republican,None / No other issues,2004,both,attack
PRES/KERRY FIGHT FOR NEW MEXICO,democrat,Taxes,2004,policy,contrast
PRES/BOHB FLORIDA SCANDALS,democrat,Bush,2004,unclear,attack
PRES/CU CELSIUS 4111,republican,Bush,2004,both,attack
PRES/KERRY BETTER FUTURE SPANISH,democrat,None / No other issues,2004,personal,promote
PRES/KERRY LEADING,democrat,Health care,2004,both,contrast
PRES/KERRY LOOKING,democrat,Government Spending,2004,policy,contrast
PRES/KERRY OHIO JOBS,democrat,Energy,2004,both,promote
PRES/KERRY TRUTH ON TAXES,democrat,Health care,2004,policy,promote
PRES/KERRY WISCONSIN JOBS,democrat,International trade/globalization/NAFTA,2004,policy,contrast
PRES/KERRY&DNC CREATING ENEMIES SPANISH,democrat,None / No other issues,2004,both,contrast
PRES/MAF WORLD WAR II 60,republican,Other (please specify),2004,policy,other
PRES/PFA ASHLEY'S STORY,republican,None / No other issues,2004,personal,promote
PRES/PFA ASHLEY'S STORY 60,republican,None / No other issues,2004,personal,promote
PRES/RNC NUISANCE,republican,Terrorism,2004,both,attack
PRES/TMF STAND UP,democrat,Other (please specify),2004,both,contrast
PRES/TVC FEAR FACTOR,democrat,Other (please specify),2004,policy,attack
PRES/TVC ON HOLD,democrat,International trade/globalization/NAFTA,2004,policy,attack
PRES/TVC THE FUTURE,democrat,Health care,2004,policy,attack
PRES/MOVEON BUSH OSAMA 60,democrat,None / No other issues,2004,policy,attack
PRES/NATCA LANDING CLEARANCE,democrat,None / No other issues,2004,policy,attack
PRES/NEA OUTSOURCING JOBS,democrat,Bush,2004,policy,attack
PRES/NDN HELP WANTED HEALTHCARE,democrat,Prescription drugs,2004,policy,contrast
PRES/PFA LUCHANDO POR FAMILIAS SPANISH,republican,Employment/ jobs,2004,policy,promote
PRES/TMF ENVISION,democrat,None / No other issues,2004,policy,promote
PRES/ALDP BUSH WHOSE SIDE,democrat,Energy,2004,policy,attack
PRES/BUSH&RNC THEY DON'T KNOW SPANISH,republican,Foreign policy,2004,policy,attack
PRES/BUSH&RNC WOLVES,republican,Political record,2004,policy,attack
PRES/DNC LISTEN,democrat,Other (please specify),2004,policy,attack
PRES/DNC TECHNEGLAS,democrat,Other (please specify),2004,policy,attack
PRES/EAF POLLUTED LAKES,democrat,None / No other issues,2004,policy,contrast
PRES/KERRY DOUGLAS PETERSON,democrat,Other (please specify),2004,personal,contrast
PRES/KERRY LOOK YOU IN THE EYE,democrat,Bush,2004,policy,contrast
PRES/KERRY TIMKEN,democrat,International trade/globalization/NAFTA,2004,policy,attack
PRES/KERRY&DNC TEN SECONDS,democrat,Environment,2004,policy,contrast
PRES/KERRY&DNC WISCONSIN JOBS 2,democrat,Bush,2004,policy,attack
PRES/LCV OIL MEN,democrat,Environment,2004,policy,attack
PRES/LCV YUCCA WHO WOULD VISIT,democrat,Political record,2004,policy,attack
PRES/LFR MY BROTHER IN IRAQ,republican,Bush,2004,policy,promote
PRES/LFR WE BELIEVE,republican,None / No other issues,2004,both,promote
PRES/MOVEON NO CASUALTIES,democrat,Employment/ jobs,2004,policy,attack
PRES/NRA KERRY WANTS YOU TO THINK,republican,Honesty/Integrity,2004,policy,attack
PRES/NRA WHAT WOULD HAPPEN,republican,Other (please specify),2004,policy,attack
PRES/TMF FIRST PRIORITY,democrat,Employment/ jobs,2004,policy,contrast
PRES/RFC LEFT OUT,democrat,Employment/ jobs,2004,policy,attack
PRES/NRA KERRY WANTS YOU TO THINK 2,republican,None / No other issues,2004,policy,attack
PRES/YARMUTH TAX CUTS,democrat,None / No other issues,2004,policy,contrast
PRES/MAF BEIRUT 1983,republican,Terrorism,2004,policy,contrast
PRES/MAF WE'RE PROUD,republican,None / No other issues,2004,policy,other
PRES/MOVEON IT'S ABOUT PRIORITIES REVISED,democrat,Government Spending,2004,policy,attack
PRES/LFR WE BELIEVE 2,republican,Homosexuality/Gay & Lesbian Rights,2004,policy,promote
PRES/MAF DEBORAH JOHNS,republican,Terrorism,2004,policy,promote
PRES/MAF MELISSA HIOCO,republican,Terrorism,2004,policy,promote
