state,total,D,R,year,D_pv2p,R_pv2p
New Mexico,830158,472422,346832,2008,57.664900018797596,42.33509998120241
New Mexico,783758,415335,335788,2012,55.295204646908694,44.704795353091306
New Mexico,798319,385234,319667,2016,54.65079493432411,45.34920506567589
New York,6668262,3244165,2825913,1976,53.4451946087019,46.5548053912981
New York,6201959,2728372,2637700,1980,50.84486380354196,49.155136196458045
New York,6806810,3001285,3376519,1984,47.0582821297111,52.9417178702889
New York,6485683,3255487,2838414,1988,53.42205263918793,46.57794736081207
New York,7079432,3346894,2041690,1992,62.11082540422493,37.88917459577507
New York,6439129,3649630,1738707,1996,67.7320293812358,32.26797061876419
New York,6960215,3942215,2258577,2000,63.57599158301068,36.42400841698931
New York,7448266,4180755,2806993,2004,59.829790656446114,40.170209343553886
New York,7722019,4645332,2418323,2008,65.76385737978427,34.23614262021574
New York,7116784,4324228,2223397,2012,66.04269487027739,33.957305129722606
New York,7802084,4379789,2527142,2016,63.41150649977537,36.58849350022463
North Carolina,1677906,927365,741960,1976,55.55329249846495,44.44670750153505
North Carolina,1855833,875635,915018,1980,48.90031737025543,51.09968262974457
North Carolina,2175361,824287,1346481,1984,37.97213705011314,62.02786294988686
North Carolina,2134370,890167,1237258,1988,41.84246213144999,58.15753786855
North Carolina,2611850,1114042,1134661,1992,49.541535720813286,50.45846427918671
North Carolina,2515807,1107849,1225938,1996,47.47001333026536,52.52998666973464
North Carolina,2914990,1257692,1631163,2000,43.53600301849695,56.46399698150305
North Carolina,3501007,1525849,1961166,2004,43.75802799815888,56.24197200184111
North Carolina,4310851,2142651,2128474,2008,50.16596330006732,49.83403669993269
North Carolina,4505372,2178391,2270395,2012,48.965965096995,51.034034903005
North Carolina,4741564,2189316,2362631,2016,48.096254196281286,51.903745803718714
North Dakota,297308,136078,153684,1976,46.96198949482679,53.03801050517322
North Dakota,301116,79189,193695,1980,29.019290247870888,70.98070975212912
North Dakota,308971,104429,200336,1984,34.265417616852325,65.73458238314767
North Dakota,297261,127739,166559,1988,43.40464427213233,56.59535572786767
North Dakota,308133,99168,136244,1992,42.12529522709122,57.87470477290877
North Dakota,266411,106905,125050,1996,46.08868099415835,53.91131900584165
North Dakota,288256,95284,174852,2000,35.27260342938372,64.72739657061628
North Dakota,312833,111052,196651,2004,36.09064585005671,63.90935414994329
North Dakota,316621,141278,168601,2008,45.59134371803188,54.40865628196813
North Dakota,322932,124966,188320,2012,39.888791711088274,60.11120828891173
North Dakota,344360,93758,216794,2016,30.190757103480255,69.80924289651973
Ohio,4110456,2009959,2000626,1976,50.11635459664861,49.88364540335138
Ohio,4283603,1752414,2206545,1980,44.26451498992538,55.73548501007461
Ohio,4563235,1825440,2678559,1984,40.529316280931674,59.47068371906832
Ohio,4393585,1939629,2416549,1988,44.525935349749254,55.474064650250746
Ohio,4939967,1984942,1894310,1992,51.16816334695452,48.831836653045485
Ohio,4534434,2148222,1859883,1996,53.59694918172055,46.40305081827946
Ohio,4701998,2183628,2350363,2000,48.16127777933392,51.83872222066608
Ohio,5627903,2741165,2859764,2004,48.94125599521079,51.058744004789204
Ohio,5708350,2940044,2677820,2008,52.33384076225413,47.66615923774587
Ohio,5580822,2827621,2661407,2012,51.51405676924949,48.48594323075051
Ohio,5496487,2394164,2841005,2016,45.7323154228641,54.26768457713591
Oklahoma,1092251,532442,545708,1976,49.384779483374295,50.615220516625705
Oklahoma,1149708,402026,695570,1980,36.6278667196309,63.372133280369106
Oklahoma,1255676,385080,861530,1984,30.890174152301043,69.10982584769896
Oklahoma,1171036,483423,678367,1988,41.61018772755833,58.38981227244167
Oklahoma,1390359,473066,592929,1992,44.37788169738132,55.62211830261868
Oklahoma,1206713,488105,582315,1996,45.59939089329422,54.40060910670578
Oklahoma,1234229,474276,744337,2000,38.919328777881084,61.08067122211892
Oklahoma,1463758,503966,959792,2004,34.42959833524394,65.57040166475606
Oklahoma,1462661,502496,960165,2008,34.3549188773065,65.64508112269351
Oklahoma,1334872,443547,891325,2012,33.22768025698344,66.77231974301657
Oklahoma,1452992,420375,949136,2016,30.695262761671867,69.30473723832813
Oregon,1029876,490407,492120,1976,49.91282682307967,50.08717317692033
Oregon,1181516,456890,571044,1980,44.44740615642638,55.55259384357362
Oregon,1226527,536479,685700,1984,43.89528866066264,56.104711339337364
Oregon,1201694,616206,560126,1988,52.383680797597954,47.61631920240204
Oregon,1462643,621314,475757,1992,56.63389151659282,43.36610848340718
Oregon,1377760,649641,538152,1996,54.69311571965822,45.30688428034178
Oregon,1533950,720342,713577,2000,50.235891985530564,49.764108014469436
Oregon,1836782,943163,866831,2004,52.108625774450076,47.891374225549924
Oregon,1827864,1037291,738475,2008,58.41372117722719,41.58627882277282
Oregon,1789270,970488,754175,2012,56.27116717874738,43.72883282125262
Oregon,2001336,1002106,782403,2016,56.155838945054356,43.844161054945644
Pennsylvania,4620787,2328677,2205604,1976,51.3571390921736,48.6428609078264
Pennsylvania,4561501,1937540,2261872,1980,46.13836413288336,53.86163586711663
Pennsylvania,4844903,2228131,2584323,1984,46.29926852287835,53.70073147712166
Pennsylvania,4536251,2194944,2300087,1988,48.83045300466226,51.16954699533775
Pennsylvania,4959810,2239164,1791841,1992,55.548529461015306,44.451470538984694
Pennsylvania,4501307,2215819,1801169,1996,55.16120536083255,44.83879463916745
Pennsylvania,4912185,2485967,2281127,2000,52.14847871680315,47.85152128319685
Pennsylvania,5769590,2938095,2793847,2004,51.25828209706239,48.74171790293761
Pennsylvania,6013272,3276363,2655885,2008,55.229703815484456,44.77029618451555
Pennsylvania,5742040,2990274,2680434,2012,52.73193400189182,47.26806599810817
Pennsylvania,6115402,2926441,2970733,2016,49.62446419250984,50.37553580749017
Rhode Island,410584,227636,181249,1976,55.67237731880602,44.32762268119398
Rhode Island,415967,198342,154793,1980,56.166055474535234,43.833944525464766
Rhode Island,410489,197106,212080,1984,48.170269755074706,51.82973024492529
Rhode Island,404622,225123,177761,1988,55.87787055331063,44.12212944668937
Rhode Island,453365,213299,131601,1992,61.84372281820818,38.15627718179183
Rhode Island,390247,233050,104683,1996,69.0042133874984,30.99578661250159
Rhode Island,409112,249508,130555,2000,65.64911606759932,34.350883932400684
Rhode Island,437134,259760,169046,2004,60.57751057587814,39.42248942412186
Rhode Island,471766,296571,165391,2008,64.19813750914577,35.801862490854226
Rhode Island,446049,279677,157204,2012,64.01674597888211,35.98325402111788
Rhode Island,464144,252525,180543,2016,58.31070409265982,41.68929590734018
South Carolina,802583,450807,346149,1976,56.566109044915905,43.433890955084095
South Carolina,888258,428220,439277,1980,49.36270672982154,50.63729327017845
South Carolina,968529,344459,615539,1984,35.88122058587622,64.11877941412378
South Carolina,986009,370554,606443,1988,37.927854435581686,62.072145564418314
South Carolina,1228912,525514,577507,1992,47.64315457275972,52.35684542724029
South Carolina,1150182,506152,573339,1996,46.888024078014546,53.111975921985454
South Carolina,1383902,566037,786892,2000,41.83789393234974,58.162106067650264
South Carolina,1617700,661669,937974,2004,41.363541740250795,58.636458259749205
South Carolina,1920969,862449,1034896,2008,45.45557081079087,54.54442918920913
South Carolina,1964118,865941,1071645,2012,44.69174529543463,55.30825470456537
South Carolina,2103027,855373,1155389,2016,42.53974363947598,57.46025636052402
South Dakota,300678,147068,151505,1976,49.25696563319523,50.74303436680477
South Dakota,327703,103855,198343,1980,34.36654114190034,65.63345885809966
South Dakota,317867,116113,200267,1984,36.70048675643214,63.29951324356786
South Dakota,312991,145560,165415,1988,46.8076211914141,53.19237880858589
South Dakota,336254,124888,136718,1992,47.73896623166135,52.26103376833865
South Dakota,323826,139333,150543,1996,48.06641460486553,51.93358539513447
South Dakota,316269,118804,190700,2000,38.38528742762614,61.61471257237386
South Dakota,388215,149244,232584,2004,39.08670919890632,60.91329080109369
South Dakota,381975,170924,203054,2008,45.704292765884624,54.295707234115376
South Dakota,363815,145039,210610,2012,40.78150086180476,59.21849913819525
South Dakota,370093,117458,227721,2016,34.02814192056875,65.97185807943126
Tennessee,1476346,825879,633969,1976,56.57294458053167,43.42705541946833
Tennessee,1617616,783051,787761,1980,49.850077539514594,50.149922460485406
Tennessee,1711993,711714,990212,1984,41.818151905547005,58.181848094452995
Tennessee,1636250,679794,947233,1988,41.78135949802923,58.218640501970775
Tennessee,1982638,933521,841300,1992,52.598036647075965,47.40196335292404
Tennessee,1894105,909146,863530,1996,51.286642341860556,48.713357658139444
Tennessee,2076181,981720,1061949,2000,48.03713321482099,51.96286678517901
Tennessee,2437319,1036477,1384375,2004,42.81455454525927,57.18544545474072
Tennessee,2599749,1087437,1479178,2008,42.36852819764554,57.63147180235446
Tennessee,2458577,960709,1462330,2012,39.64892847370595,60.35107152629404
Tennessee,2508027,870695,1522925,2016,36.37565695473801,63.62434304526199
Texas,4071884,2082319,1953300,1976,51.59850322837711,48.401496771622895
Texas,4541636,1881147,2510705,1980,42.832659206184545,57.167340793815455
Texas,5397571,1949276,3433428,1984,36.21369482698659,63.78630517301341
Texas,5427410,2352748,3036829,1988,43.65366706886273,56.34633293113727
Texas,6154018,2281815,2496071,1992,47.75783683411451,52.2421631658855
Texas,5611644,2459683,2736167,1996,47.33937661787773,52.660623382122274
Texas,6407637,2433746,3799639,2000,39.04372985143706,60.95627014856294
Texas,7410749,2832704,4526917,2004,38.48980810289008,61.51019189710992
Texas,8077795,3528633,4479328,2008,44.06406324905928,55.93593675094072
Texas,7993851,3308124,4569843,2012,41.99210278489362,58.00789721510638
Texas,8969226,3877868,4685047,2016,45.28677442202802,54.71322557797199
Utah,541218,182110,337908,1976,35.01994161740555,64.98005838259445
Utah,604152,124266,439687,1980,22.034814957984086,77.96518504201592
Utah,629656,155369,469105,1984,24.879978990318254,75.12002100968175
Utah,647008,207343,428442,1988,32.612125168099276,67.38787483190072
Utah,743998,183429,322632,1992,36.24642088601967,63.75357911398033
Utah,665629,221633,361911,1996,37.98051218074387,62.019487819256135
Utah,770754,203053,515096,2000,28.274494568675863,71.72550543132414
Utah,927844,241199,663742,2004,26.65356083987796,73.34643916012205
Utah,952370,327670,596030,2008,35.47363862725994,64.52636137274007
Utah,1017440,251813,740600,2012,25.373811104852518,74.62618889514748
Utah,1131317,310674,515211,2016,37.617101654588716,62.382898345411284
Vermont,183902,77798,100387,1976,43.66136318994304,56.33863681005696
Vermont,213299,81952,94628,1980,46.410692037603354,53.589307962396646
Vermont,234561,95730,135865,1984,41.335089272220905,58.664910727779095
Vermont,243328,115775,124331,1988,48.218286923275556,51.781713076724444
Vermont,289701,133592,88122,1992,60.25420135850691,39.745798641493096
Vermont,258449,137894,80352,1996,63.182830384062015,36.81716961593798
Vermont,294308,149022,119775,2000,55.4403508967734,44.5596491032266
Vermont,312309,184067,121180,2004,60.30100213925116,39.69899786074883
Vermont,325046,219262,98974,2008,68.8991817393381,31.1008182606619
Vermont,299290,199239,92698,2012,68.24725882639062,31.752741173609373
Vermont,320467,178573,95369,2016,65.18642632382037,34.81357367617963
Virginia,1697094,813896,836554,1976,49.313581144536336,50.686418855463664
Virginia,1866032,752174,989609,1980,43.18413947087553,56.815860529124464
Virginia,2146635,796250,1337078,1984,37.32431206078015,62.67568793921985
Virginia,2191609,859799,1309162,1988,39.64105394241759,60.35894605758241
Virginia,2559129,1038650,1150517,1992,47.44498706585656,52.55501293414344
Virginia,2416642,1091060,1138350,1996,48.939405492933105,51.060594507066895
Virginia,2739447,1217290,1437490,2000,45.85276369416675,54.147236305833246
Virginia,3195415,1454742,1716959,2004,45.866303286469936,54.13369671353006
Virginia,3723260,1959532,1725005,2008,53.18258440612755,46.81741559387245
Virginia,3854489,1971820,1822522,2012,51.967376688764475,48.03262331123552
Virginia,3982752,1981473,1769443,2016,52.826376277154694,47.1736237228453
Washington,1555534,717323,777732,1976,47.979706432204836,52.020293567795164
Washington,1742394,650193,865244,1980,42.9046539051112,57.0953460948888
Washington,1874910,798352,1051670,1984,43.15364898363371,56.84635101636629
Washington,1865253,933516,903835,1988,50.80771175458582,49.19228824541418
Washington,2287565,993037,731234,1992,57.59170107251123,42.40829892748877
Washington,2253837,1123323,840712,1996,57.19465284478128,42.80534715521872
Washington,2487433,1247652,1108864,2000,52.944771009405414,47.055228990594586
Washington,2859084,1510201,1304894,2004,53.646537683452955,46.353462316547045
Washington,3036878,1750848,1229216,2008,58.75202680210895,41.24797319789105
Washington,3125516,1755396,1290670,2012,57.62829827062185,42.37170172937815
Washington,3317019,1742718,1221747,2016,58.786931200064764,41.21306879993523
West Virginia,750590,435864,314726,1976,58.06951864533234,41.93048135466766
West Virginia,737715,367462,334206,1980,52.36978172012975,47.63021827987025
West Virginia,735742,328125,405483,1984,44.72756567540158,55.27243432459842
West Virginia,653311,341016,310065,1988,52.376893197620575,47.623106802379425
West Virginia,683677,331001,241974,1992,57.76883808194074,42.23116191805925
West Virginia,636459,327812,233946,1996,58.35466517610786,41.645334823892135
West Virginia,648124,295497,336475,2000,46.75792598406259,53.24207401593741
West Virginia,755792,326541,423778,2004,43.52028937025452,56.47971062974548
West Virginia,713451,303857,397466,2008,43.32625623286275,56.67374376713725
West Virginia,670438,238269,417655,2012,36.32570236795726,63.67429763204273
West Virginia,713051,188794,489371,2016,27.838947748704225,72.16105225129577
Wisconsin,2101336,1040232,1004987,1976,50.86164366749967,49.13835633250033
Wisconsin,2273221,981584,1088845,1980,47.40969142143971,52.59030857856028
Wisconsin,2211689,995740,1198584,1984,45.377984290378265,54.62201570962173
Wisconsin,2191608,1126794,1047499,1988,51.82346629456104,48.17653370543896
Wisconsin,2531064,1041066,930855,1992,52.79450850211545,47.20549149788455
Wisconsin,2196169,1071971,845029,1996,55.91919666145019,44.08080333854982
Wisconsin,2598607,1242987,1237279,2000,50.115068303157805,49.884931696842195
Wisconsin,2997007,1489504,1478120,2004,50.19180327426924,49.80819672573075
Wisconsin,2983417,1677211,1262393,2008,57.055678247818406,42.94432175218159
Wisconsin,3071434,1620985,1410966,2012,53.46342998287241,46.53657001712759
Wisconsin,2976150,1382536,1405284,2016,49.59201096197028,50.40798903802971
Wyoming,156343,62239,92717,1976,40.16559539482176,59.83440460517825
Wyoming,176713,49427,110700,1980,30.86737402187014,69.13262597812985
Wyoming,188968,53370,133241,1984,28.599600237928097,71.40039976207191
Wyoming,176551,67113,106867,1988,38.575123577422694,61.42487642257731
Wyoming,199884,68160,79347,1992,46.20797657060343,53.79202342939657
Wyoming,211571,77934,105388,1996,42.51208256510402,57.48791743489598
Wyoming,213726,60481,147947,2000,29.01769435968296,70.98230564031705
Wyoming,243861,70776,167629,2004,29.687296826828298,70.31270317317171
Wyoming,254904,82868,164958,2008,33.43797664490409,66.56202335509592
Wyoming,250701,69286,170962,2012,28.839365988478573,71.16063401152142
Wyoming,258788,55973,174419,2016,24.294680370846212,75.70531962915379
Alabama,214980,NA,40930,1948,NA,NA
Arizona,177065,95251,77597,1948,55.106799037304455,44.893200962695545
Arkansas,242475,149659,50959,1948,74.59898912360805,25.40101087639195
California,4021538,1913134,1895269,1948,50.23454713169798,49.76545286830201
Colorado,515237,267288,239714,1948,52.71931866146484,47.28068133853515
Connecticut,883518,423297,437754,1948,49.16050268799409,50.83949731200591
Delaware,139073,67813,69588,1948,49.354080392428,50.645919607572
Florida,577643,281988,194280,1948,59.207840963491144,40.792159036508856
Georgia,418844,254646,76691,1948,76.85407907960777,23.14592092039223
Idaho,214816,107370,101514,1948,51.401734934221864,48.598265065778136
Illinois,3984046,1994715,1961103,1948,50.424842598926446,49.57515740107356
Indiana,1656212,807831,821079,1948,49.593347698767886,50.406652301232114
Iowa,1038264,522380,494018,1948,51.39522116336317,48.60477883663683
Kansas,788819,351902,423039,1948,45.41016670946562,54.58983329053437
Kentucky,822658,466756,341210,1948,57.76926256797934,42.23073743202065
Louisiana,416336,136344,72657,1948,65.23605150214593,34.763948497854074
Maine,264787,111916,150234,1948,42.69158878504673,57.30841121495327
Maryland,596748,286521,294814,1948,49.28672796236249,50.7132720376375
Massachusetts,2107146,1151788,909370,1948,55.88062632753045,44.11937367246955
Michigan,2109609,1003448,1038595,1948,49.1394157713623,50.8605842286377
Minnesota,1212226,692966,483617,1948,58.89648244110275,41.103517558897245
Mississippi,192190,19384,5043,1948,79.35481229786711,20.645187702132887
Missouri,1578628,917315,655039,1948,58.340233815031475,41.659766184968525
Montana,224278,119071,96770,1948,55.16607132101872,44.83392867898129
Nebraska,488940,224165,264774,1948,45.84723247685294,54.15276752314706
Nevada,62117,31291,29357,1948,51.594446642923096,48.405553357076904
New Hampshire,231440,107995,121299,1948,47.09892103587534,52.90107896412466
New Jersey,1949555,895455,981124,1948,47.71741557376482,52.28258442623519
New Mexico,187063,105464,80303,1948,56.77219312364413,43.22780687635587
New York,6177337,2780204,2841163,1948,49.457792028166814,50.542207971833186
North Carolina,791209,459070,258572,1948,63.96922142238052,36.03077857761948
North Dakota,220716,95812,115139,1948,45.41907836416988,54.58092163583012
Ohio,2936071,1452791,1445684,1948,50.12259895289765,49.87740104710235
Oklahoma,721599,452782,268817,1948,62.74703817494204,37.25296182505796
Oregon,524080,243147,260904,1948,48.23857109697233,51.76142890302767
Pennsylvania,3735348,1752426,1902197,1948,47.950937757465,52.049062242535
Rhode Island,327702,188736,135787,1948,58.1579733947979,41.8420266052021
South Carolina,142571,34423,5386,1948,86.47039614157602,13.529603858423975
South Dakota,250105,117653,129651,1948,47.57424061074629,52.42575938925371
Tennessee,550283,270402,202914,1948,57.129275156555025,42.870724843444975
Texas,1147245,750700,282240,1948,72.67605088388484,27.323949116115166
Utah,276306,149151,124402,1948,54.52362065120836,45.47637934879164
Vermont,123382,45557,75926,1948,37.500720265386924,62.499279734613076
Virginia,419256,200786,172070,1948,53.85081640096981,46.14918359903019
Washington,905058,476165,386314,1948,55.208880448103656,44.79111955189634
West Virginia,748750,429188,316251,1948,57.57520065357461,42.424799346425395
Wisconsin,1276800,647310,590959,1948,52.275394118725416,47.724605881274584
Wyoming,101425,52354,47947,1948,52.19688736901925,47.80311263098075
Alabama,426120,275075,149231,1952,64.82939199539955,35.17060800460045
Arizona,260570,108528,152042,1952,41.65022834555014,58.34977165444985
Arkansas,404800,226300,177155,1952,56.090518149483835,43.909481850516165
California,5141849,2197548,2897310,1952,43.13266434511031,56.86733565488969
Colorado,630103,245504,379782,1952,39.26267340065186,60.73732659934814
Connecticut,1096911,481649,611012,1952,44.0803689341891,55.91963106581089
Delaware,174025,83315,90059,1952,48.055071694717775,51.944928305282225
Florida,989337,444950,544036,1952,44.99052564950363,55.00947435049637
Georgia,655785,456823,198961,1952,69.66058946238395,30.339410537616047
Idaho,276254,95081,180707,1952,34.47611933804227,65.52388066195773
Illinois,4481058,2013920,2457327,1952,45.04157341341241,54.95842658658759
Indiana,1955049,801530,1136259,1952,41.36312054614821,58.63687945385179
Iowa,1268773,451513,808906,1952,35.82245269231898,64.17754730768101
Kansas,896166,273296,616302,1952,30.721292089235813,69.2787079107642
Kentucky,993148,495729,495029,1952,50.03532648739652,49.96467351260348
Louisiana,651952,345027,306925,1952,52.92214764277124,47.07785235722876
Maine,351786,118806,232353,1952,33.83253739758912,66.16746260241088
Maryland,902074,395337,499424,1952,44.18353057408627,55.81646942591374
Massachusetts,2383398,1083525,1292325,1952,45.60578319338342,54.39421680661658
Michigan,2798592,1230657,1551529,1952,44.233455275815494,55.766544724184506
Minnesota,1379483,608458,763211,1952,44.358952487808644,55.641047512191356
Mississippi,285532,172566,112966,1952,60.436658588179256,39.563341411820744
Missouri,1892062,929830,959429,1952,49.216650549236505,50.7833494507635
Montana,265037,106213,157394,1952,40.292177370100184,59.70782262989981
Nebraska,609660,188057,421603,1952,30.846209362595545,69.15379063740446
Nevada,82190,31688,50502,1952,38.55456868232145,61.44543131767855
New Hampshire,272950,106663,166287,1952,39.07785308664591,60.92214691335409
New Jersey,2418554,1015902,1373613,1952,42.514987350989635,57.48501264901036
New Mexico,238608,105661,132170,1952,44.42692500136652,55.57307499863349
New York,7128239,3104601,3952813,1952,43.990631695972496,56.009368304027504
North Carolina,1210910,652803,558107,1952,53.91011718459671,46.08988281540329
North Dakota,270127,76694,191712,1952,28.573876887998033,71.42612311200197
Ohio,3700758,1600367,2100391,1952,43.24430292388748,56.75569707611251
Oklahoma,948984,430939,518045,1952,45.410565404685435,54.589434595314565
Oregon,695059,270579,420815,1952,39.135283210441514,60.86471678955848
Pennsylvania,4580969,2146269,2415789,1952,47.046069997356454,52.953930002643546
Rhode Island,414498,203293,210935,1952,49.07756114989812,50.922438850101884
South Carolina,341087,173004,9793,1952,94.6426910726106,5.3573089273894
South Dakota,294283,90426,203857,1952,30.727564962977816,69.27243503702218
Tennessee,892553,443710,446147,1952,49.86306788618845,50.13693211381155
Texas,2075946,969228,1102878,1952,46.775020196843215,53.22497980315679
Utah,329554,135364,194190,1952,41.07490729895556,58.92509270104445
Vermont,153557,43355,109717,1952,28.323272708268004,71.676727291732007
Virginia,619689,268677,349037,1952,43.495371644482724,56.50462835551728
Washington,1102708,492845,599107,1952,45.13430993303735,54.86569006696265
West Virginia,873548,453578,419970,1952,51.92364930146941,48.07635069853059
Wisconsin,1607370,622175,979744,1952,38.839354549137624,61.160645450862376
Wyoming,129253,47934,81049,1952,37.16303698937069,62.83696301062931
Alabama,496861,280844,195694,1956,58.93422979909262,41.06577020090737
Arizona,290173,112880,176990,1956,38.94159450788284,61.05840549211715
Arkansas,406572,213277,186287,1956,53.37743140022625,46.62256859977376
California,5466355,2420135,3027668,1956,44.424054981430125,55.575945018569875
Colorado,657074,257997,394479,1956,39.54122450480938,60.45877549519063
Connecticut,1117121,405079,711837,1956,36.26763337618944,63.73236662381056
Delaware,177988,79421,98057,1956,44.74977180270231,55.25022819729769
Florida,1125762,480371,643849,1956,42.72927007169415,57.270729928305855
Georgia,669655,444688,222778,1956,66.6233186409495,33.376681359050494
Idaho,272989,105868,166979,1956,38.80123292541241,61.19876707458759
Illinois,4407407,1775682,2623327,1956,40.36550050249954,59.63449949750046
Indiana,1974607,783908,1182811,1956,39.85866816764367,60.14133183235633
Iowa,1234564,501858,729187,1956,40.766828182560346,59.233171817439654
Kansas,866243,296317,566878,1956,34.32793285410597,65.67206714589403
Kentucky,1053805,476453,572192,1956,45.43510911700337,54.56489088299663
Louisiana,617544,243977,329047,1956,42.577099737532805,57.422900262467195
Maine,351706,102468,249238,1956,29.13456125286461,70.86543874713539
Maryland,932827,372613,559738,1956,39.96488446947556,60.03511553052445
Massachusetts,2348506,948190,1393197,1956,40.49693621772052,59.503063782279476
Michigan,3080468,1359898,1713647,1956,44.245260765663105,55.7547392343369
Minnesota,1340005,617525,719302,1956,46.19333690896429,53.80666309103571
Mississippi,248104,144453,60685,1956,70.41747506556561,29.582524934434378
Missouri,1832562,918273,914289,1956,50.108700278626316,49.891299721373684
Montana,271171,116238,154933,1956,42.86520313750364,57.13479686249636
Nebraska,577137,199029,378108,1956,34.48557274962444,65.51442725037556
Nevada,96689,40640,56049,1956,42.03166854554293,57.96833145445708
New Hampshire,266994,90364,176519,1956,33.85903186040325,66.14096813959675
New Jersey,2484312,850337,1606942,1956,34.60482102357933,65.39517897642067
New Mexico,253926,106098,146788,1956,41.95487294670326,58.04512705329674
New York,7095971,2747944,4345506,1956,38.73917487259373,61.26082512740627
North Carolina,1165592,590530,575062,1956,50.663525487477614,49.33647451252239
North Dakota,253991,96742,156766,1956,38.16132035280938,61.83867964719062
Ohio,3702265,1439655,2262610,1956,38.885790185197436,61.11420981480256
Oklahoma,859350,385581,473769,1956,44.868912550183275,55.13108744981672
Oregon,736132,329204,406393,1956,44.753309216867386,55.246690783132614
Pennsylvania,4576503,1981769,2585252,1956,43.39303454045865,56.60696545954135
Rhode Island,387609,161790,225819,1956,41.7405168610636,58.25948313893641
South Carolina,300583,136372,75700,1956,64.30457580444377,35.69542419555623
South Dakota,293857,122288,171569,1956,41.614799034904735,58.385200965095265
Tennessee,939404,456507,462288,1956,49.685403163926665,50.314596836073335
Texas,1955168,859958,1080619,1956,44.31455180598348,55.685448194016516
Utah,333995,118364,215631,1956,35.43885387505801,64.561146124942
Vermont,152978,42549,110390,1956,27.820895912749528,72.17910408725047
Virginia,697978,267760,386459,1956,40.928190712895834,59.07180928710416
Washington,1150889,523002,620430,1956,45.73966794702265,54.260332052977354
West Virginia,830831,381534,449297,1956,45.92197450504374,54.07802549495625
Wisconsin,1550558,586768,954844,1956,38.0619766841462,61.9380233158538
Wyoming,124127,49554,74573,1956,39.922015355241,60.077984644759
Alabama,570225,324050,237981,1960,57.65696198252409,42.343038017475905
Alaska,60762,29809,30953,1960,49.05862216516902,50.94137783483098
Arizona,398491,176781,221241,1960,44.41488158945988,55.585118410540126
Arkansas,428509,215049,184508,1960,53.821857707410956,46.178142292589044
California,6506578,3224099,3259722,1960,49.72529315661244,50.27470684338756
Colorado,736236,330629,402242,1960,45.11421518930344,54.885784810696556
Connecticut,1222883,657055,565813,1960,53.73065612968857,46.26934387031143
Delaware,196683,99590,96373,1960,50.82081821568357,49.17918178431643
Florida,1544176,748700,795476,1960,48.4854058086643,51.5145941913357
Georgia,733349,458638,274472,1960,62.5605980003001,37.4394019996999
Hawaii,184705,92410,92295,1960,50.03113072196205,49.96886927803795
Idaho,300450,138853,161597,1960,46.21501081710767,53.78498918289233
Illinois,4757409,2377846,2368988,1960,50.093304295031174,49.906695704968826
Indiana,2135360,952358,1175120,1960,44.764646214907984,55.23535378509202
Iowa,1273810,550565,722381,1960,43.251245535945756,56.74875446405425
Kansas,928825,363213,561474,1960,39.27956162463623,60.72043837536377
Kentucky,1124462,521855,602607,1960,46.409305072114485,53.590694927885515
Louisiana,807891,407339,230980,1960,63.81433107897462,36.18566892102538
Maine,421767,181159,240608,1960,42.95238840402402,57.04761159597598
Maryland,1055349,565808,489538,1960,53.61350684988619,46.3864931501138
Massachusetts,2469480,1487174,976750,1960,60.35794935233392,39.64205064766608
Michigan,3318097,1687269,1620428,1960,51.01038577596436,48.98961422403564
Minnesota,1541887,779933,757915,1960,50.71587048915107,49.28412951084893
Mississippi,298171,108362,73561,1960,59.564760915332315,40.43523908466769
Missouri,1934422,972201,962221,1960,50.25795819112893,49.74204180887107
Montana,277579,134891,141841,1960,48.744272436870325,51.255727563129675
Nebraska,613095,232542,380553,1960,37.92919531230886,62.07080468769114
Nevada,107267,54880,52387,1960,51.16205356726673,48.837946432733276
New Hampshire,295761,137772,157989,1960,46.582206578960715,53.417793421039285
New Jersey,2773111,1385415,1363324,1960,50.40183880681287,49.59816119318713
New Mexico,311107,156027,153733,1960,50.37028667355372,49.62971332644628
New York,7291079,3830085,3446419,1960,52.636334701389565,47.36366529861043
North Carolina,1368556,713136,655420,1960,52.10864590122728,47.89135409877272
North Dakota,278431,123963,154310,1960,44.54726114283456,55.45273885716544
Ohio,4161859,1944248,2217611,1960,46.7158546216967,53.28414537830331
Oklahoma,903150,370111,533039,1960,40.980014394065215,59.019985605934785
Oregon,776421,367402,408060,1960,47.378465998333894,52.621534001666106
Pennsylvania,5006541,2556282,2439956,1960,51.16413589584804,48.835864104151966
Rhode Island,405535,258032,147502,1960,63.62771062352355,36.372289376476445
South Carolina,386688,198129,188558,1960,51.237564231536105,48.7624357684639
South Dakota,306487,128070,178417,1960,41.78643792395763,58.21356207604238
Tennessee,1051792,481453,556577,1960,46.38141479533347,53.61858520466654
Texas,2311084,1167567,1121310,1960,51.0104736951789,48.9895263048211
Utah,374709,169248,205361,1960,45.17990758364054,54.82009241635946
Vermont,167324,69186,98131,1960,41.35025131935189,58.64974868064811
Virginia,771449,362327,404521,1960,47.24886809380738,52.751131906192626
Washington,1241572,599298,629273,1960,48.7800867837512,51.21991321624879
West Virginia,837781,441786,395995,1960,52.732874104330364,47.26712589566963
Wisconsin,1729082,830805,895175,1960,48.13526228577388,51.864737714226116
